team1,team2,total matches,wins,losses,no result,tied matches,toss_wins,toss_winner,winner,toss won & match won,toss won & match lost,toss lost & match won,toss lost & match lost,toss_decision,chose to bat,chose to bowl,batting first wins,batting second wins,win by runs,win by wickets,winner_runs,winner_wickets,last 5 matches,team1 recent form,team2 recent form
Mumbai Indians,Gujarat Giants,4,4,0,0,0,1,Mumbai Indians,Mumbai Indians,1,0,3,0,bowl,0,0,1,0,198.0,12.0,198.0,12.0,"[{""date"":""2024-03-09"",""team1"":""Gujarat Giants"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2024-02-25"",""team1"":""Gujarat Giants"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-14"",""team1"":""Mumbai Indians"",""team2"":""Gujarat Giants"",""winner"":""Mumbai Indians"",""winner_runs"":55.0,""winner_wickets"":null},{""date"":""2023-03-04"",""team1"":""Mumbai Indians"",""team2"":""Gujarat Giants"",""winner"":""Mumbai Indians"",""winner_runs"":143.0,""winner_wickets"":null}]",WWWW,LLLL
Mumbai Indians,Delhi Capitals,5,3,2,0,0,2,Mumbai Indians,Mumbai Indians,1,1,2,1,bowl,0,0,2,0,0.0,19.0,0.0,19.0,"[{""date"":""2024-03-05"",""team1"":""Delhi Capitals"",""team2"":""Mumbai Indians"",""winner"":""Delhi Capitals"",""winner_runs"":29.0,""winner_wickets"":null},{""date"":""2024-02-23"",""team1"":""Delhi Capitals"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":4.0},{""date"":""2023-03-26"",""team1"":""Delhi Capitals"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2023-03-20"",""team1"":""Mumbai Indians"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":9.0},{""date"":""2023-03-09"",""team1"":""Delhi Capitals"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":8.0}]",LWWLW,WLLWL
Mumbai Indians,Royal Challengers Bangalore,5,3,2,0,0,2,Mumbai Indians,Mumbai Indians,2,0,1,2,bowl,0,0,1,0,0.0,20.0,0.0,20.0,"[{""date"":""2024-03-15"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":5.0,""winner_wickets"":null},{""date"":""2024-03-12"",""team1"":""Mumbai Indians"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2024-03-02"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2023-03-21"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":4.0},{""date"":""2023-03-06"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":9.0}]",LLWWW,WWLLL
Mumbai Indians,UP Warriorz,5,3,2,0,0,1,Mumbai Indians,Mumbai Indians,1,0,2,2,bat,1,0,2,0,114.0,8.0,114.0,8.0,"[{""date"":""2024-03-07"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""Mumbai Indians"",""winner_runs"":42.0,""winner_wickets"":null},{""date"":""2024-02-28"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2023-03-24"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""Mumbai Indians"",""winner_runs"":72.0,""winner_wickets"":null},{""date"":""2023-03-18"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-12"",""team1"":""UP Warriorz"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":8.0}]",WLWLW,LWLWL
Gujarat Giants,Mumbai Indians,4,0,4,0,0,3,Gujarat Giants,Mumbai Indians,0,3,0,1,bat,1,0,0,0,0.0,0.0,0.0,0.0,"[{""date"":""2024-03-09"",""team1"":""Gujarat Giants"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2024-02-25"",""team1"":""Gujarat Giants"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-14"",""team1"":""Mumbai Indians"",""team2"":""Gujarat Giants"",""winner"":""Mumbai Indians"",""winner_runs"":55.0,""winner_wickets"":null},{""date"":""2023-03-04"",""team1"":""Mumbai Indians"",""team2"":""Gujarat Giants"",""winner"":""Mumbai Indians"",""winner_runs"":143.0,""winner_wickets"":null}]",LLLL,WWWW
Gujarat Giants,Delhi Capitals,4,1,3,0,0,3,Gujarat Giants,Delhi Capitals,0,3,1,0,bat,2,0,0,0,11.0,0.0,11.0,0.0,"[{""date"":""2024-03-13"",""team1"":""Gujarat Giants"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2024-03-03"",""team1"":""Delhi Capitals"",""team2"":""Gujarat Giants"",""winner"":""Delhi Capitals"",""winner_runs"":25.0,""winner_wickets"":null},{""date"":""2023-03-16"",""team1"":""Gujarat Giants"",""team2"":""Delhi Capitals"",""winner"":""Gujarat Giants"",""winner_runs"":11.0,""winner_wickets"":null},{""date"":""2023-03-11"",""team1"":""Gujarat Giants"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":10.0}]",LLWL,WWLW
Gujarat Giants,Royal Challengers Bangalore,4,2,2,0,0,3,Gujarat Giants,Royal Challengers Bangalore,2,1,0,1,bat,3,0,2,0,30.0,0.0,30.0,0.0,"[{""date"":""2024-03-06"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Gujarat Giants"",""winner_runs"":19.0,""winner_wickets"":null},{""date"":""2024-02-27"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2023-03-18"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2023-03-08"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Gujarat Giants"",""winner_runs"":11.0,""winner_wickets"":null}]",WLLW,LWWL
Gujarat Giants,UP Warriorz,4,1,3,0,0,3,Gujarat Giants,UP Warriorz,1,2,0,1,bat,3,0,1,0,8.0,0.0,8.0,0.0,"[{""date"":""2024-03-11"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""Gujarat Giants"",""winner_runs"":8.0,""winner_wickets"":null},{""date"":""2024-03-01"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":6.0},{""date"":""2023-03-20"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":3.0},{""date"":""2023-03-05"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":3.0}]",WLLL,LWWW
Delhi Capitals,Mumbai Indians,5,2,3,0,0,3,Delhi Capitals,Mumbai Indians,1,2,1,1,bat,2,0,0,0,29.0,9.0,29.0,9.0,"[{""date"":""2024-03-05"",""team1"":""Delhi Capitals"",""team2"":""Mumbai Indians"",""winner"":""Delhi Capitals"",""winner_runs"":29.0,""winner_wickets"":null},{""date"":""2024-02-23"",""team1"":""Delhi Capitals"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":4.0},{""date"":""2023-03-26"",""team1"":""Delhi Capitals"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2023-03-20"",""team1"":""Mumbai Indians"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":9.0},{""date"":""2023-03-09"",""team1"":""Delhi Capitals"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":8.0}]",WLLWL,LWWLW
Delhi Capitals,Gujarat Giants,4,3,1,0,0,1,Delhi Capitals,Delhi Capitals,0,1,3,0,bowl,0,0,2,0,25.0,17.0,25.0,17.0,"[{""date"":""2024-03-13"",""team1"":""Gujarat Giants"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2024-03-03"",""team1"":""Delhi Capitals"",""team2"":""Gujarat Giants"",""winner"":""Delhi Capitals"",""winner_runs"":25.0,""winner_wickets"":null},{""date"":""2023-03-16"",""team1"":""Gujarat Giants"",""team2"":""Delhi Capitals"",""winner"":""Gujarat Giants"",""winner_runs"":11.0,""winner_wickets"":null},{""date"":""2023-03-11"",""team1"":""Gujarat Giants"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":10.0}]",WWLW,LLWL
Delhi Capitals,Royal Challengers Bangalore,5,4,1,0,0,3,Delhi Capitals,Delhi Capitals,2,1,2,0,bat,2,0,1,0,86.0,6.0,86.0,6.0,"[{""date"":""2024-03-17"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2024-03-10"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":1.0,""winner_wickets"":null},{""date"":""2024-02-29"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":25.0,""winner_wickets"":null},{""date"":""2023-03-13"",""team1"":""Royal Challengers Bangalore"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":6.0},{""date"":""2023-03-05"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":60.0,""winner_wickets"":null}]",LWWWW,WLLLL
Delhi Capitals,UP Warriorz,4,3,1,0,0,2,Delhi Capitals,Delhi Capitals,2,0,1,1,bowl,0,0,0,0,42.0,14.0,42.0,14.0,"[{""date"":""2024-03-08"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""UP Warriorz"",""winner_runs"":1.0,""winner_wickets"":null},{""date"":""2024-02-26"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":9.0},{""date"":""2023-03-21"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-07"",""team1"":""Delhi Capitals"",""team2"":""UP Warriorz"",""winner"":""Delhi Capitals"",""winner_runs"":42.0,""winner_wickets"":null}]",LWWW,WLLL
Royal Challengers Bangalore,Mumbai Indians,5,2,3,0,0,3,Royal Challengers Bangalore,Mumbai Indians,2,1,0,2,bat,2,0,1,0,5.0,7.0,5.0,7.0,"[{""date"":""2024-03-15"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":5.0,""winner_wickets"":null},{""date"":""2024-03-12"",""team1"":""Mumbai Indians"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2024-03-02"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2023-03-21"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":4.0},{""date"":""2023-03-06"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":9.0}]",WWLLL,LLWWW
Royal Challengers Bangalore,Gujarat Giants,4,2,2,0,0,1,Royal Challengers Bangalore,Gujarat Giants,1,0,1,2,bowl,0,0,1,0,0.0,16.0,0.0,16.0,"[{""date"":""2024-03-06"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Gujarat Giants"",""winner_runs"":19.0,""winner_wickets"":null},{""date"":""2024-02-27"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2023-03-18"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2023-03-08"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Gujarat Giants"",""winner_runs"":11.0,""winner_wickets"":null}]",LWWL,WLLW
Royal Challengers Bangalore,Delhi Capitals,5,1,4,0,0,2,Royal Challengers Bangalore,Delhi Capitals,0,2,1,2,bowl,0,0,1,0,0.0,8.0,0.0,8.0,"[{""date"":""2024-03-17"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2024-03-10"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":1.0,""winner_wickets"":null},{""date"":""2024-02-29"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":25.0,""winner_wickets"":null},{""date"":""2023-03-13"",""team1"":""Royal Challengers Bangalore"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":6.0},{""date"":""2023-03-05"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":60.0,""winner_wickets"":null}]",WLLLL,LWWWW
Royal Challengers Bangalore,UP Warriorz,4,3,1,0,0,2,Royal Challengers Bangalore,Royal Challengers Bangalore,1,1,2,0,bat,1,0,0,0,25.0,5.0,25.0,5.0,"[{""date"":""2024-03-04"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":23.0,""winner_wickets"":null},{""date"":""2024-02-24"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":2.0,""winner_wickets"":null},{""date"":""2023-03-15"",""team1"":""UP Warriorz"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-10"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":10.0}]",WWWL,LLLW
UP Warriorz,Mumbai Indians,5,2,3,0,0,4,UP Warriorz,Mumbai Indians,2,2,0,1,bat,1,0,0,0,0.0,12.0,0.0,12.0,"[{""date"":""2024-03-07"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""Mumbai Indians"",""winner_runs"":42.0,""winner_wickets"":null},{""date"":""2024-02-28"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2023-03-24"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""Mumbai Indians"",""winner_runs"":72.0,""winner_wickets"":null},{""date"":""2023-03-18"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-12"",""team1"":""UP Warriorz"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":8.0}]",LWLWL,WLWLW
UP Warriorz,Gujarat Giants,4,3,1,0,0,1,UP Warriorz,UP Warriorz,1,0,2,1,bowl,0,0,2,0,0.0,12.0,0.0,12.0,"[{""date"":""2024-03-11"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""Gujarat Giants"",""winner_runs"":8.0,""winner_wickets"":null},{""date"":""2024-03-01"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":6.0},{""date"":""2023-03-20"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":3.0},{""date"":""2023-03-05"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":3.0}]",LWWW,WLLL
UP Warriorz,Delhi Capitals,4,1,3,0,0,2,UP Warriorz,Delhi Capitals,1,1,0,2,bat,1,0,1,0,1.0,0.0,1.0,0.0,"[{""date"":""2024-03-08"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""UP Warriorz"",""winner_runs"":1.0,""winner_wickets"":null},{""date"":""2024-02-26"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":9.0},{""date"":""2023-03-21"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-07"",""team1"":""Delhi Capitals"",""team2"":""UP Warriorz"",""winner"":""Delhi Capitals"",""winner_runs"":42.0,""winner_wickets"":null}]",WLLL,LWWW
UP Warriorz,Royal Challengers Bangalore,4,1,3,0,0,2,UP Warriorz,Royal Challengers Bangalore,0,2,1,1,bowl,0,0,1,0,0.0,10.0,0.0,10.0,"[{""date"":""2024-03-04"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":23.0,""winner_wickets"":null},{""date"":""2024-02-24"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":2.0,""winner_wickets"":null},{""date"":""2023-03-15"",""team1"":""UP Warriorz"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-10"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":10.0}]",LLLW,WWWL
